mockito-core-4.1.1-SNAPSHOT.jar -> java.base
mockito-core-4.1.1-SNAPSHOT.jar -> java.instrument
   org.mockito.ArgumentCaptor                         -> java.lang.Object                                   java.base
   org.mockito.ArgumentCaptor                         -> java.util.List                                     java.base
   org.mockito.ArgumentCaptor                         -> org.mockito.ArgumentMatcher                        mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.ArgumentCaptor                         -> org.mockito.Mockito                                mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.ArgumentCaptor                         -> org.mockito.internal.matchers.CapturingMatcher     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.ArgumentCaptor                         -> org.mockito.internal.util.Primitives               mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.ArgumentMatcher                        -> java.lang.Object                                   java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Boolean                                  java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Byte                                     java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Character                                java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Class                                    java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Double                                   java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Float                                    java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Integer                                  java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Iterable                                 java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Long                                     java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Object                                   java.base
   org.mockito.ArgumentMatchers                       -> java.lang.Short                                    java.base
   org.mockito.ArgumentMatchers                       -> java.lang.String                                   java.base
   org.mockito.ArgumentMatchers                       -> java.lang.StringBuilder                            java.base
   org.mockito.ArgumentMatchers                       -> java.util.ArrayList                                java.base
   org.mockito.ArgumentMatchers                       -> java.util.Collection                               java.base
   org.mockito.ArgumentMatchers                       -> java.util.HashMap                                  java.base
   org.mockito.ArgumentMatchers                       -> java.util.HashSet                                  java.base
   org.mockito.ArgumentMatchers                       -> java.util.List                                     java.base
   org.mockito.ArgumentMatchers                       -> java.util.Map                                      java.base
   org.mockito.ArgumentMatchers                       -> java.util.Set                                      java.base
   org.mockito.ArgumentMatchers                       -> java.util.regex.Pattern                            java.base
   org.mockito.ArgumentMatchers                       -> org.mockito.AdditionalMatchers                     mockito-core-4.1.1-SNAPSHOT.jar
   org.mockito.ArgumentMatchers                       -> org.mockito.ArgumentMatcher                        mockito-core-4.1.1-SNAPSHOT.jar
